Block,Timestamp,st_yeth_crvusd_with_chainlink,st_yeth_crvusd_no_chainlink,eth_crvusd
18340000,1697182331,1553.10623135547128949818579886915204399964557146776009700796785738447912039739,1547.16809622064421904020678817490148663185866152599504509758698059288986068144,1550.34189131650112624465928675530168632850052526020908307137121195307772323083
18340128,1697183867,1554.54985739518093352255302468520799556585078043079846308605990423155743236840,1552.08290903806588425797828503617980645329406527633629282952150101515379170117,1551.77978969852734261318920394259025400210003886159036537159260328217868185513
18340256,1697185415,1554.79499211767939473334058251810258527507386479190876584421284719505201520319,1552.64586151290444446633730042881190003666657077458508903048033382201166579202,1552.02130118143342807171513978324180210567997938737560921943011383986129062463
18340384,1697186963,1554.98110346994907891423930454988810621452666193187525784820634064135976884366,1552.62587771746268055271193703920244187443765405952621960965588574283764777522,1552.02130118143342807171513978324180210567997938737560921943011383986129062463
18340512,1697188511,1553.58499670380413707107882531827701775611374218733295800341087236699590583623,1551.16384927945058251378009695667789890198785248023054662111620287598475588087,1550.45200834063814669140675901099682308878453099290737149310719030601460889193
18340640,1697190047,1553.68291121287250764714012556075822533977987526663112545286931303953603814018,1551.55600180846125249120524677935026509336131366988030079791717389650693443771,1550.45200834063814669140675901099682308878453099290737149310719030601460889193
18340768,1697191607,1552.12627409281879770337245841967875346478751748665828253634700754599183788884,1550.95564189850241108458638142736219731560842738894439369998465146959239463638,1548.84253631269186876956449618731076141413304410998416228624183972983153848763
18340896,1697193143,1552.15815688588958999049675906811868380475641061837938767544384736331020041510,1549.30550473124763299136152607513598326926822076718485990433068513978553432280,1548.84253631269186876956449618731076141413304410998416228624183972983153848763
18341024,1697194691,1550.68117214042472663483964853770470527127411862557085443629440172543704884599,1547.92204189169859328951898843564464765816091157013299264205631898851712187336,1547.34959394723090001930304340309098186160193817986178059027634613678368011596
18341152,1697196227,1550.69307857015470494650969521418471150766053724775721287007894678267073823298,1548.49514695636257845630120788518502780969222271934301516394950393360692099248,1547.34959394723090001930304340309098186160193817986178059027634613678368011596
18341280,1697197763,1550.70107884287918283978814885709135247876047240795908919053285422464927153483,1549.14734755342770780800422359016473491661579709577468912628197572057272226096,1547.34959394723090001930304340309098186160193817986178059027634613678368011596
18341408,1697199311,1552.16000240378565689418811126752256834110040686844396193895156831723212763440,1549.37857371395090319183421814769425155876712370586165128434018287673279644367,1548.79949298074109358429059912729001953500055584548808018282832720867922545148
18341536,1697200847,1552.16464226476888246223304321776226575918565868804173392925977098383198227316,1550.64865277554725018403913588657056395497432508827085921908085982384750369678,1548.79949298074109358429059912729001953500055584548808018282832720867922545148
18341664,1697202395,1558.60872818867269864927252017009994485783547431410042024312019653865691302731,1554.13461735448059029996181814846263127560371427446130427430163310156752281859,1555.22559031467167066212444796827828125060275043068631813008668133591087995776
18341792,1697203955,1558.61241115918638704894280617460543438322193859411241374027833305024266775541,1555.33732291869494645822133479798390270695902251592084947811532106255403226592,1555.22559031467167066212444796827828125060275043068631813008668133591087995776
18341920,1697205491,1555.26083090800614378500823139969696460133893474023114526618704220583749501265,1553.81571833413795783429642349703152625852743796413399856770398807120203841089,1551.87788375720288330255684415630545460520867551814493594701116695839996256622
18342048,1697207063,1553.82525471723094149237471398960615072025669091764462091384744436131419212742,1552.27783694909618731859306118493409390670390703104357015948202351486564746682,1550.44205788778535615375051528930178324634562533147191850991247439570254228075
18342176,1697208623,1553.82854602547457383575622433499480290123700873351473931928102359512432751775,1552.39453077987891000599329361261995955730427279764684828886219913229351143090,1550.44205788778535615375051528930178324634562533147191850991247439570254228075
18342304,1697210171,1546.98642589400994744143470499706241415358132761870202290178633122211966511820,1549.31382897339265459270140966990423169445266126907698580777648614748841440990,1543.61163881117978075854188994201331113143015480001369433248838234095804669167
18342432,1697211719,1546.98962549161902719811224515984948967133059892726658537809957416754561345911,1547.24476497148725150081125102768862628969399574784766316075946002376098505920,1543.61163881117978075854188994201331113143015480001369433248838234095804669167
18342560,1697213279,1543.62586955790608926837849840270386590552682811649265429836628980067932455389,1546.66532996425820433950372885239439982947768697665598938771234719037030189733,1540.25202777226645407083053123398949340379641332618718751044843533241890963082
18342688,1697214827,1552.21820684638341224376129826556918424838449842685685119724035018763192638457,1546.74624512846278613792172571008613082342918270967198472834075967690400059728,1548.82239752124573578707475243589941232493928145196762932084719867813653770036
18342816,1697216363,1551.59119697493399453440149524336654455499310363195310976697109861310045016661,1548.02307697661353586689919567523295165981233273312381286939343191368612872392,1548.19360079258952419602355825607080370315572277946098386571385612181709377034
18342944,1697217899,1551.59436080303063926209519468825930358176175692991021227692701650510829185607,1547.98970786640242259506857166781980823031939809598202499983290163667633077478,1548.19360079258952419602355825607080370315572277946098386571385612181709377034
18343072,1697219435,1551.59752370555651086539042898080327685439201464408562512158032910792121727592,1548.07311356630700488752915182078150034782368489010607169661694333421320346043,1548.19360079258952419602355825607080370315572277946098386571385612181709377034
18343200,1697220971,1549.49096790464013231362394105719759547304539308363782169188809696295100371195,1547.68472020388227646744222235005445127977319022546024734665264845892327603572,1546.08851523003975961241034867091898380845392788092017105102199962480732334461
18343328,1697222519,1549.49415038160465188998700767457568602618779777189319260141971245050039446317,1547.75706996543095561824331715954871833737850970804358113674559042944529098132,1546.08851523003975961241034867091898380845392788092017105102199962480732334461
18343456,1697224067,1548.28691682075894547981825363713024892854160086358033285156983940811065110661,1547.79413695172728503843727165161531826259726992344268821881015250315960238461,1544.88076220572451127349884389001529000251663390904921090413226482836937138409
